City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
250,Komsomolskiy,40.4272,71.7189,90.32,25,0,2.3,clear sky,UZ,2022-07-23 02:47:02
251,Abdanan,32.9926,47.4198,79.5,19,0,12.03,clear sky,IR,2022-07-23 02:47:02
252,Belis,46.65,23.0333,63.48,43,2,2.68,clear sky,RO,2022-07-23 02:47:03
253,Nedjo,9.5046,35.5019,56.05,97,76,1.59,broken clouds,ET,2022-07-23 02:47:03
254,Shingu,33.7333,135.9833,82.78,70,57,6.87,broken clouds,JP,2022-07-23 02:47:04
255,Cayenne,4.9333,-52.3333,78.1,1,0,0.0,clear sky,GF,2022-07-23 02:44:45
256,Hayrabolu,41.2131,27.1069,67.73,48,0,2.98,clear sky,TR,2022-07-23 02:47:04
257,Grindavik,63.8424,-22.4338,51.75,100,75,4.61,fog,IS,2022-07-23 02:47:05
258,Kawalu,-7.3817,108.2082,75.56,86,99,2.98,overcast clouds,ID,2022-07-23 02:47:05
259,Mendoza,-32.8908,-68.8272,53.13,54,0,5.75,clear sky,AR,2022-07-23 02:44:02
